BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,2.6112,2.6112,2.61298,6.22243,4.68458,3.40538,2.06871,1.51499,2.6112,13056,3.9168,0,0
10000,2.1552,2.3832,2.38366,6.22243,4.68458,3.40538,2.06871,1.51499,2.4744,10776,3.9168,0,0
15000,2.3472,2.3712,2.37162,6.22243,4.68458,3.40538,2.06871,1.51499,2.43624,11736,3.7116,0,0
20000,3.3456,2.6148,2.61519,6.22243,4.68458,3.40538,2.06871,1.51499,2.70905,16728,3.65436,0,0
25000,2.6384,2.61952,2.61988,6.22243,4.68458,3.40538,2.06871,1.51499,2.68785,13192,4.06357,0,0
30000,3.4704,2.76133,2.7615,6.22243,4.68458,3.40538,2.06871,1.51499,2.92262,17352,4.03178,0,0
35000,1.848,2.63086,2.63104,6.22243,4.68458,3.40538,2.06871,1.51499,2.60023,9240,4.38393,0,0
40000,0.5248,2.3676,2.36777,6.22243,4.68458,3.40538,2.06871,1.51499,1.9776,2624,3.90035,0,0
45000,0.8608,2.20018,2.20019,6.22243,4.68458,3.40538,2.06871,1.51499,1.64256,4304,2.9664,0,0
50000,2.336,2.21376,2.21392,6.22243,4.68458,3.40538,2.06871,1.51499,1.85059,11680,2.46384,0,0
55000,2.24,2.21615,2.21619,6.22243,4.68458,3.40538,2.06871,1.51499,1.96742,11200,2.77589,0,0
60000,1.3296,2.14227,2.14236,6.22243,4.68458,3.40538,2.06871,1.51499,1.77607,6648,2.95112,0,0
65000,0.072,1.98302,1.98302,6.22243,4.68458,3.40538,2.06871,1.51499,1.26485,360,2.66411,0,0
70000,0.7712,1.89646,1.89652,6.22243,4.68458,3.40538,2.06871,1.51499,1.11675,3856,1.89727,0,0
75000,1.728,1.88523,1.88531,6.22243,4.68458,3.40538,2.06871,1.51499,1.30013,8640,1.67513,0,0
80000,1.5984,1.8673,1.86734,6.22243,4.68458,3.40538,2.06871,1.51499,1.38961,7992,1.95019,0,0
85000,0.2896,1.77449,1.77453,6.22243,4.68458,3.40538,2.06871,1.51499,1.05961,1448,2.08441,0,0
90000,0.0528,1.67884,1.67889,6.22243,4.68458,3.40538,2.06871,1.51499,0.757565,264,1.58941,0,0
95000,0.7152,1.62813,1.62816,6.22243,4.68458,3.40538,2.06871,1.51499,0.744855,3576,1.13635,0,0
100000,1.8944,1.64144,1.64149,6.22243,4.68458,3.40538,2.06871,1.51499,1.08972,9472,1.11728,0,0
105000,1.6688,1.64274,1.64278,6.22243,4.68458,3.40538,2.06871,1.51499,1.26344,8344,1.63458,0,0
110000,0.296,1.58153,1.58156,6.22243,4.68458,3.40538,2.06871,1.51499,0.97321,1480,1.89516,0,0
115000,0.0544,1.51513,1.51518,6.22243,4.68458,3.40538,2.06871,1.51499,0.697567,272,1.45982,0,0
120000,0.4384,1.47027,1.47032,6.22243,4.68458,3.40538,2.06871,1.51499,0.619817,2192,1.04635,0,0
125000,0.4576,1.42976,1.42978,6.22243,4.68458,3.40538,2.06871,1.51499,0.571152,2288,0.929725,0,0
130000,0.36,1.38862,1.38866,6.22243,4.68458,3.40538,2.06871,1.51499,0.507806,1800,0.856728,0,0
135000,0.3664,1.35076,1.3508,6.22243,4.68458,3.40538,2.06871,1.51499,0.465384,1832,0.761709,0,0
140000,0.3296,1.31429,1.31434,6.22243,4.68458,3.40538,2.06871,1.51499,0.424649,1648,0.698077,0,0
145000,0.2688,1.27823,1.2783,6.22243,4.68458,3.40538,2.06871,1.51499,0.377894,1344,0.636974,0,0
150000,0.2928,1.24539,1.2454,6.22243,4.68458,3.40538,2.06871,1.51499,0.352366,1464,0.566842,0,0
155000,0.28,1.21425,1.21427,6.22243,4.68458,3.40538,2.06871,1.51499,0.330656,1400,0.528549,0,0
160000,8.0112,1.42665,1.4267,6.22243,4.68458,3.40538,2.06871,1.51499,1.42665,40056,0.495984,1,1
165000,8.5312,1.64194,1.64198,6.22243,4.68458,3.40538,2.06871,1.51499,3.55801,42656,2.13997,0,1
170000,8.2464,1.83619,1.83619,6.22243,4.68458,3.40538,2.06871,1.51499,4.96453,41232,5.33702,0,1
175000,8.08,2.01458,2.01461,6.22243,4.68458,3.40538,2.06871,1.51499,5.89917,40400,7.4468,0,1
180000,7.5824,2.16924,2.16926,6.22243,4.68458,3.40538,2.06871,1.51499,6.40414,37912,8.84876,0,1
185000,8.5056,2.3405,2.34053,6.22243,4.68458,3.40538,2.06871,1.51499,7.03458,42528,9.60621,0,1
190000,8.4672,2.50173,2.50175,6.22243,4.68458,3.40538,2.06871,1.51499,7.46436,42336,10.5519,0,1
195000,7.7872,2.63725,2.63728,6.22243,4.68458,3.40538,2.06871,1.51499,7.56122,38936,11.1965,0,1
200000,7.5296,2.75956,2.75959,6.22243,4.68458,3.40538,2.06871,1.51499,7.55173,37648,11.3418,0,1
205000,7.9376,2.88585,2.88589,6.22243,4.68458,3.40538,2.06871,1.51499,7.66749,39688,11.3276,0,1
210000,7.6272,2.99874,2.99881,6.22243,4.68458,3.40538,2.06871,1.51499,7.6554,38136,11.5012,0,1
215000,7.7024,3.10813,3.10814,6.22243,4.68458,3.40538,2.06871,1.51499,7.6695,38512,11.4831,0,1
220000,7.6048,3.21033,3.21035,6.22243,4.68458,3.40538,2.06871,1.51499,7.65009,38024,11.5043,0,1
225000,7.3264,3.3018,3.30183,6.22243,4.68458,3.40538,2.06871,1.51499,7.55298,36632,11.4751,0,1
230000,8.1232,3.40661,3.40662,6.22243,4.68458,3.40538,2.06871,1.51499,7.72405,40616,11.3295,0,1
235000,7.6976,3.49791,3.49792,6.22243,4.68458,3.40538,2.06871,1.51499,7.71611,38488,11.5861,0,1
240000,7.2144,3.57533,3.57536,6.22243,4.68458,3.40538,2.06871,1.51499,7.5656,36072,11.5742,0,1
245000,7.8512,3.6626,3.66263,6.22243,4.68458,3.40538,2.06871,1.51499,7.65128,39256,11.3484,0,1
