BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,4.0752,4.0752,4.07586,3.68428,3.21737,4.0752,20376,6.1128,0,0
10000,2.5056,3.2904,3.29083,3.68428,3.21737,3.60432,12528,6.1128,0,0
15000,1.6016,2.72747,2.72808,3.68428,3.21737,3.0035,8008,5.40648,0,0
20000,2.1136,2.574,2.57436,3.68428,3.21737,2.73653,10568,4.50526,0,0
25000,2.3776,2.53472,2.53482,3.68428,3.21737,2.62885,11888,4.1048,0,0
30000,2.3936,2.5112,2.51154,3.68428,3.21737,2.55828,11968,3.94328,0,0
35000,2.2912,2.47977,2.47983,3.68428,3.21737,2.47815,11456,3.83742,0,0
40000,2.2608,2.4524,2.45265,3.68428,3.21737,2.41295,11304,3.71723,0,0
45000,2.224,2.42702,2.42717,3.68428,3.21737,2.35626,11120,3.61942,0,0
50000,2.1904,2.40336,2.40351,3.68428,3.21737,2.3065,10952,3.5344,0,0
55000,2.1712,2.38225,2.38228,3.68428,3.21737,2.26591,10856,3.45976,0,0
60000,2.1344,2.3616,2.36172,3.68428,3.21737,2.22646,10672,3.39887,0,0
65000,2.1568,2.34585,2.34587,3.68428,3.21737,2.20556,10784,3.33969,0,0
70000,2.112,2.32914,2.32924,3.68428,3.21737,2.17749,10560,3.30834,0,0
75000,2.12,2.3152,2.31526,3.68428,3.21737,2.16025,10600,3.26624,0,0
80000,2.1312,2.3037,2.3038,3.68428,3.21737,2.15153,10656,3.24037,0,0
85000,2.1328,2.29365,2.29367,3.68428,3.21737,2.14591,10664,3.2273,0,0
90000,2.1328,2.28471,2.28476,3.68428,3.21737,2.14198,10664,3.21887,0,0
95000,2.1568,2.27798,2.27802,3.68428,3.21737,2.14642,10784,3.21297,0,0
100000,2.1328,2.27072,2.27076,3.68428,3.21737,2.14234,10664,3.21964,0,0
105000,2.1088,2.26301,2.26305,3.68428,3.21737,2.13228,10544,3.21351,0,0
110000,2.1328,2.25709,2.25711,3.68428,3.21737,2.13243,10664,3.19841,0,0
115000,2.0992,2.25023,2.25024,3.68428,3.21737,2.12246,10496,3.19865,0,0
120000,2.1168,2.24467,2.24473,3.68428,3.21737,2.12076,10584,3.1837,0,0
125000,2.0992,2.23885,2.23888,3.68428,3.21737,2.1143,10496,3.18115,0,0
130000,2.1376,2.23495,2.235,3.68428,3.21737,2.12129,10688,3.17144,0,0
