BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,1.1232,1.1232,1.12361,2.42926,1.9466,1.33462,0.971891,0.657654,1.1232,5616,1.6848,0,0
10000,0.8704,0.9968,0.997325,2.42926,1.9466,1.33462,0.971891,0.657654,1.04736,4352,1.6848,0,0
15000,0.6176,0.8704,0.870744,2.42926,1.9466,1.33462,0.971891,0.657654,0.918432,3088,1.57104,0,0
20000,0.7712,0.8456,0.845646,2.42926,1.9466,1.33462,0.971891,0.657654,0.874262,3856,1.37765,0,0
25000,0.8,0.83648,0.836594,2.42926,1.9466,1.33462,0.971891,0.657654,0.851984,4000,1.31139,0,0
30000,0.704,0.8144,0.814667,2.42926,1.9466,1.33462,0.971891,0.657654,0.807589,3520,1.27798,0,0
35000,0.5456,0.776,0.776201,2.42926,1.9466,1.33462,0.971891,0.657654,0.728992,2728,1.21138,0,0
40000,0.6064,0.7548,0.75493,2.42926,1.9466,1.33462,0.971891,0.657654,0.692214,3032,1.09349,0,0
45000,0.5776,0.735111,0.735169,2.42926,1.9466,1.33462,0.971891,0.657654,0.65783,2888,1.03832,0,0
50000,0.664,0.728,0.728027,2.42926,1.9466,1.33462,0.971891,0.657654,0.659681,3320,0.986745,0,0
55000,0.5904,0.715491,0.715513,2.42926,1.9466,1.33462,0.971891,0.657654,0.638897,2952,0.989522,0,0
60000,0.8368,0.7256,0.725613,2.42926,1.9466,1.33462,0.971891,0.657654,0.698268,4184,0.958345,0,0
65000,0.6336,0.718523,0.718675,2.42926,1.9466,1.33462,0.971891,0.657654,0.678867,3168,1.0474,0,0
70000,0.6192,0.711429,0.711494,2.42926,1.9466,1.33462,0.971891,0.657654,0.660967,3096,1.0183,0,0
75000,0.6448,0.706987,0.707073,2.42926,1.9466,1.33462,0.971891,0.657654,0.656117,3224,0.991451,0,0
80000,0.8256,0.7144,0.71451,2.42926,1.9466,1.33462,0.971891,0.657654,0.706962,4128,0.984176,0,0
85000,0.7984,0.719341,0.719408,2.42926,1.9466,1.33462,0.971891,0.657654,0.734393,3992,1.06044,0,0
90000,0.712,0.718933,0.718939,2.42926,1.9466,1.33462,0.971891,0.657654,0.727675,3560,1.10159,0,0
95000,0.752,0.720674,0.720717,2.42926,1.9466,1.33462,0.971891,0.657654,0.734973,3760,1.09151,0,0
100000,0.6432,0.7168,0.716844,2.42926,1.9466,1.33462,0.971891,0.657654,0.707441,3216,1.10246,0,0
105000,0.6736,0.714743,0.714846,2.42926,1.9466,1.33462,0.971891,0.657654,0.697289,3368,1.06116,0,0
110000,0.9904,0.727273,0.727344,2.42926,1.9466,1.33462,0.971891,0.657654,0.785222,4952,1.04593,0,0
115000,0.9456,0.736765,0.736831,2.42926,1.9466,1.33462,0.971891,0.657654,0.833335,4728,1.17783,0,0
120000,0.8288,0.7406,0.740667,2.42926,1.9466,1.33462,0.971891,0.657654,0.831975,4144,1.25,0,0
125000,0.752,0.741056,0.741113,2.42926,1.9466,1.33462,0.971891,0.657654,0.807982,3760,1.24796,0,0
130000,0.6128,0.736123,0.736175,2.42926,1.9466,1.33462,0.971891,0.657654,0.749428,3064,1.21197,0,0
135000,0.648,0.732859,0.732888,2.42926,1.9466,1.33462,0.971891,0.657654,0.718999,3240,1.12414,0,0
140000,0.6928,0.731429,0.731485,2.42926,1.9466,1.33462,0.971891,0.657654,0.71114,3464,1.0785,0,0
145000,0.6192,0.727559,0.727605,2.42926,1.9466,1.33462,0.971891,0.657654,0.683558,3096,1.06671,0,0
150000,0.6816,0.726027,0.726064,2.42926,1.9466,1.33462,0.971891,0.657654,0.68297,3408,1.02534,0,0
155000,0.8864,0.7312,0.731218,2.42926,1.9466,1.33462,0.971891,0.657654,0.743999,4432,1.02446,0,0
160000,0.664,0.7291,0.729167,2.42926,1.9466,1.33462,0.971891,0.657654,0.719999,3320,1.116,0,0
165000,0.5792,0.724558,0.724579,2.42926,1.9466,1.33462,0.971891,0.657654,0.67776,2896,1.08,0,0
170000,0.7328,0.7248,0.724811,2.42926,1.9466,1.33462,0.971891,0.657654,0.694272,3664,1.01664,0,0
175000,0.704,0.724206,0.72422,2.42926,1.9466,1.33462,0.971891,0.657654,0.69719,3520,1.04141,0,0
180000,0.672,0.722756,0.7228,2.42926,1.9466,1.33462,0.971891,0.657654,0.689633,3360,1.04579,0,0
185000,0.6272,0.720173,0.720203,2.42926,1.9466,1.33462,0.971891,0.657654,0.670903,3136,1.03445,0,0
190000,0.5632,0.716042,0.716071,2.42926,1.9466,1.33462,0.971891,0.657654,0.638592,2816,1.00635,0,0
195000,0.6256,0.713723,0.713741,2.42926,1.9466,1.33462,0.971891,0.657654,0.634695,3128,0.957888,0,0
200000,0.5424,0.70944,0.709466,2.42926,1.9466,1.33462,0.971891,0.657654,0.607006,2712,0.952042,0,0
