BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,5.7648,5.7648,5.7665,6.59352,5.08637,2.46577,1.19117,0.723397,5.7648,28824,8.6472,0,0
10000,4.5264,5.1456,5.14624,6.59352,5.08637,2.46577,1.19117,0.723397,5.39328,22632,8.6472,0,0
15000,3.6384,4.6432,4.64349,6.59352,5.08637,2.46577,1.19117,0.723397,4.86682,18192,8.08992,0,0
20000,3.384,4.3284,4.32856,6.59352,5.08637,2.46577,1.19117,0.723397,4.42197,16920,7.30022,0,0
25000,3.1968,4.10208,4.10227,6.59352,5.08637,2.46577,1.19117,0.723397,4.05442,15984,6.63296,0,0
30000,3.0672,3.9296,3.92982,6.59352,5.08637,2.46577,1.19117,0.723397,3.75825,15336,6.08163,0,0
35000,2.792,3.76709,3.76716,6.59352,5.08637,2.46577,1.19117,0.723397,3.46838,13960,5.63738,0,0
40000,2.808,3.6472,3.64728,6.59352,5.08637,2.46577,1.19117,0.723397,3.27026,14040,5.20257,0,0
45000,2.8608,3.55982,3.55986,6.59352,5.08637,2.46577,1.19117,0.723397,3.14743,14304,4.9054,0,0
50000,2.9008,3.49392,3.49406,6.59352,5.08637,2.46577,1.19117,0.723397,3.07344,14504,4.72114,0,0
55000,2.7088,3.42255,3.42258,6.59352,5.08637,2.46577,1.19117,0.723397,2.96405,13544,4.61016,0,0
60000,2.6288,3.3564,3.35646,6.59352,5.08637,2.46577,1.19117,0.723397,2.86347,13144,4.44607,0,0
65000,2.7328,3.30843,3.30855,6.59352,5.08637,2.46577,1.19117,0.723397,2.82427,13664,4.29521,0,0
70000,2.616,3.25897,3.25903,6.59352,5.08637,2.46577,1.19117,0.723397,2.76179,13080,4.23641,0,0
75000,2.7712,3.22645,3.22655,6.59352,5.08637,2.46577,1.19117,0.723397,2.76461,13856,4.14268,0,0
80000,2.64,3.1898,3.1899,6.59352,5.08637,2.46577,1.19117,0.723397,2.72723,13200,4.14692,0,0
85000,2.5888,3.15445,3.15454,6.59352,5.08637,2.46577,1.19117,0.723397,2.6857,12944,4.09084,0,0
90000,2.6912,3.12871,3.12879,6.59352,5.08637,2.46577,1.19117,0.723397,2.68735,13456,4.02855,0,0
95000,2.6816,3.10518,3.10528,6.59352,5.08637,2.46577,1.19117,0.723397,2.68563,13408,4.03103,0,0
100000,2.688,3.08432,3.08439,6.59352,5.08637,2.46577,1.19117,0.723397,2.68634,13440,4.02844,0,0
105000,2.5824,3.06042,3.06045,6.59352,5.08637,2.46577,1.19117,0.723397,2.65516,12912,4.02951,0,0
110000,2.5904,3.03905,3.03909,6.59352,5.08637,2.46577,1.19117,0.723397,2.63573,12952,3.98273,0,0
115000,2.6912,3.02393,3.02395,6.59352,5.08637,2.46577,1.19117,0.723397,2.65237,13456,3.95359,0,0
120000,2.4864,3.00153,3.00159,6.59352,5.08637,2.46577,1.19117,0.723397,2.60258,12432,3.97856,0,0
125000,2.5856,2.9849,2.98496,6.59352,5.08637,2.46577,1.19117,0.723397,2.59749,12928,3.90387,0,0
130000,2.6784,2.97311,2.97317,6.59352,5.08637,2.46577,1.19117,0.723397,2.62176,13392,3.89623,0,0
135000,2.5936,2.95905,2.95908,6.59352,5.08637,2.46577,1.19117,0.723397,2.61331,12968,3.93264,0,0
140000,2.4928,2.9424,2.94246,6.59352,5.08637,2.46577,1.19117,0.723397,2.57716,12464,3.91997,0,0
145000,2.4528,2.92552,2.92556,6.59352,5.08637,2.46577,1.19117,0.723397,2.53985,12264,3.86574,0,0
150000,2.6128,2.91509,2.91511,6.59352,5.08637,2.46577,1.19117,0.723397,2.56174,13064,3.80978,0,0
155000,2.5184,2.9023,2.90231,6.59352,5.08637,2.46577,1.19117,0.723397,2.54873,12592,3.8426,0,0
160000,2.6,2.89285,2.89289,6.59352,5.08637,2.46577,1.19117,0.723397,2.56411,13000,3.8231,0,0
165000,2.4656,2.8799,2.87993,6.59352,5.08637,2.46577,1.19117,0.723397,2.53456,12328,3.84617,0,0
170000,2.4832,2.86824,2.86828,6.59352,5.08637,2.46577,1.19117,0.723397,2.51915,12416,3.80184,0,0
