BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,1.984,1.984,1.98469,4.84217,2.71829,1.93287,1.57634,1.40726,1.984,9920,2.976,0,0
10000,2.4976,2.2408,2.24114,4.84217,2.71829,1.93287,1.57634,1.40726,2.13808,12488,2.976,0,0
15000,2.04,2.17387,2.17401,4.84217,2.71829,1.93287,1.57634,1.40726,2.10866,10200,3.20712,0,0
20000,2.0048,2.1316,2.13183,4.84217,2.71829,1.93287,1.57634,1.40726,2.0775,10024,3.16298,0,0
25000,1.8704,2.07936,2.07961,4.84217,2.71829,1.93287,1.57634,1.40726,2.01537,9352,3.11625,0,0
30000,1.848,2.0408,2.04102,4.84217,2.71829,1.93287,1.57634,1.40726,1.96516,9240,3.02305,0,0
35000,1.7664,2.0016,2.00176,4.84217,2.71829,1.93287,1.57634,1.40726,1.90553,8832,2.94774,0,0
40000,1.7408,1.969,1.96922,4.84217,2.71829,1.93287,1.57634,1.40726,1.85611,8704,2.8583,0,0
45000,1.768,1.94667,1.94673,4.84217,2.71829,1.93287,1.57634,1.40726,1.82968,8840,2.78417,0,0
50000,1.6736,1.91936,1.91947,4.84217,2.71829,1.93287,1.57634,1.40726,1.78285,8368,2.74452,0,0
55000,1.7408,1.90313,1.90317,4.84217,2.71829,1.93287,1.57634,1.40726,1.77024,8704,2.67428,0,0
60000,1.7344,1.88907,1.88914,4.84217,2.71829,1.93287,1.57634,1.40726,1.75949,8672,2.65536,0,0
65000,1.7312,1.87692,1.87693,4.84217,2.71829,1.93287,1.57634,1.40726,1.751,8656,2.63923,0,0
70000,1.6224,1.85874,1.85885,4.84217,2.71829,1.93287,1.57634,1.40726,1.71242,8112,2.6265,0,0
75000,1.7392,1.85077,1.8508,4.84217,2.71829,1.93287,1.57634,1.40726,1.72045,8696,2.56863,0,0
80000,1.7472,1.8443,1.8444,4.84217,2.71829,1.93287,1.57634,1.40726,1.72848,8736,2.58068,0,0
85000,1.7488,1.83868,1.83878,4.84217,2.71829,1.93287,1.57634,1.40726,1.73457,8744,2.59272,0,0
90000,1.6736,1.82951,1.82956,4.84217,2.71829,1.93287,1.57634,1.40726,1.71628,8368,2.60186,0,0
95000,1.6592,1.82055,1.82061,4.84217,2.71829,1.93287,1.57634,1.40726,1.69916,8296,2.57442,0,0
100000,1.6896,1.814,1.81401,4.84217,2.71829,1.93287,1.57634,1.40726,1.69629,8448,2.54874,0,0
105000,1.6464,1.80602,1.80609,4.84217,2.71829,1.93287,1.57634,1.40726,1.68132,8232,2.54444,0,0
110000,1.656,1.7992,1.79925,4.84217,2.71829,1.93287,1.57634,1.40726,1.67373,8280,2.52198,0,0
115000,1.5472,1.78824,1.78828,4.84217,2.71829,1.93287,1.57634,1.40726,1.63577,7736,2.51059,0,0
120000,1.7536,1.7868,1.78683,4.84217,2.71829,1.93287,1.57634,1.40726,1.67112,8768,2.45365,0,0
125000,1.7344,1.7847,1.78473,4.84217,2.71829,1.93287,1.57634,1.40726,1.6901,8672,2.50668,0,0
130000,1.5776,1.77674,1.77681,4.84217,2.71829,1.93287,1.57634,1.40726,1.65635,7888,2.53515,0,0
135000,1.6624,1.7725,1.77255,4.84217,2.71829,1.93287,1.57634,1.40726,1.65817,8312,2.48453,0,0
140000,1.64,1.76777,1.76782,4.84217,2.71829,1.93287,1.57634,1.40726,1.65272,8200,2.48725,0,0
145000,1.6576,1.76397,1.76401,4.84217,2.71829,1.93287,1.57634,1.40726,1.65418,8288,2.47907,0,0
150000,1.4912,1.75488,1.75493,4.84217,2.71829,1.93287,1.57634,1.40726,1.60529,7456,2.48127,0,0
155000,1.5728,1.74901,1.74906,4.84217,2.71829,1.93287,1.57634,1.40726,1.59554,7864,2.40793,0,0
160000,1.6496,1.7459,1.74593,4.84217,2.71829,1.93287,1.57634,1.40726,1.61176,8248,2.39331,0,0
165000,1.736,1.7456,1.74566,4.84217,2.71829,1.93287,1.57634,1.40726,1.64903,8680,2.41764,0,0
170000,1.6368,1.7424,1.74245,4.84217,2.71829,1.93287,1.57634,1.40726,1.64536,8184,2.47355,0,0
175000,1.6624,1.74011,1.74016,4.84217,2.71829,1.93287,1.57634,1.40726,1.65047,8312,2.46804,0,0
180000,1.6288,1.73702,1.73703,4.84217,2.71829,1.93287,1.57634,1.40726,1.64397,8144,2.47571,0,0
185000,1.6384,1.73436,1.7344,4.84217,2.71829,1.93287,1.57634,1.40726,1.6423,8192,2.46596,0,0
190000,1.6272,1.73154,1.73158,4.84217,2.71829,1.93287,1.57634,1.40726,1.63777,8136,2.46345,0,0
195000,1.5504,1.72689,1.72693,4.84217,2.71829,1.93287,1.57634,1.40726,1.61156,7752,2.45665,0,0
200000,1.5584,1.72268,1.72272,4.84217,2.71829,1.93287,1.57634,1.40726,1.59561,7792,2.41734,0,0
205000,1.6304,1.72043,1.72044,4.84217,2.71829,1.93287,1.57634,1.40726,1.60605,8152,2.39342,0,0
210000,1.5696,1.71684,1.71688,4.84217,2.71829,1.93287,1.57634,1.40726,1.59511,7848,2.40907,0,0
215000,1.6768,1.71591,1.71594,4.84217,2.71829,1.93287,1.57634,1.40726,1.61962,8384,2.39267,0,0
220000,1.6896,1.71531,1.71533,4.84217,2.71829,1.93287,1.57634,1.40726,1.64061,8448,2.42943,0,0
225000,1.6272,1.71335,1.71336,4.84217,2.71829,1.93287,1.57634,1.40726,1.63659,8136,2.46092,0,0
230000,1.6464,1.7119,1.71193,4.84217,2.71829,1.93287,1.57634,1.40726,1.63953,8232,2.45488,0,0
235000,1.624,1.71003,1.71004,4.84217,2.71829,1.93287,1.57634,1.40726,1.63487,8120,2.4593,0,0
240000,1.5776,1.70727,1.70729,4.84217,2.71829,1.93287,1.57634,1.40726,1.61769,7888,2.45231,0,0
245000,1.56,1.70426,1.70427,4.84217,2.71829,1.93287,1.57634,1.40726,1.60038,7800,2.42654,0,0
250000,1.4928,1.70003,1.70004,4.84217,2.71829,1.93287,1.57634,1.40726,1.56811,7464,2.40058,0,0
255000,1.6448,1.69895,1.69896,4.84217,2.71829,1.93287,1.57634,1.40726,1.59112,8224,2.35216,0,0
260000,1.5536,1.69615,1.69617,4.84217,2.71829,1.93287,1.57634,1.40726,1.57986,7768,2.38667,0,0
265000,1.7424,1.69703,1.69704,4.84217,2.71829,1.93287,1.57634,1.40726,1.62862,8712,2.36979,0,0
270000,1.6768,1.69665,1.69667,4.84217,2.71829,1.93287,1.57634,1.40726,1.64308,8384,2.44293,0,0
275000,1.6352,1.69553,1.69554,4.84217,2.71829,1.93287,1.57634,1.40726,1.64071,8176,2.46461,0,0
280000,1.5184,1.69237,1.69241,4.84217,2.71829,1.93287,1.57634,1.40726,1.60402,7592,2.46107,0,0
285000,1.68,1.69215,1.69217,4.84217,2.71829,1.93287,1.57634,1.40726,1.62681,8400,2.40603,0,0
290000,1.4784,1.68847,1.68849,4.84217,2.71829,1.93287,1.57634,1.40726,1.58229,7392,2.44022,0,0
295000,1.5504,1.68613,1.68614,4.84217,2.71829,1.93287,1.57634,1.40726,1.57272,7752,2.37343,0,0
300000,1.6048,1.68477,1.68478,4.84217,2.71829,1.93287,1.57634,1.40726,1.58235,8024,2.35908,0,0
305000,1.6896,1.68485,1.68487,4.84217,2.71829,1.93287,1.57634,1.40726,1.61452,8448,2.37352,0,0
310000,1.5728,1.68305,1.68306,4.84217,2.71829,1.93287,1.57634,1.40726,1.60201,7864,2.42178,0,0
315000,1.4704,1.67967,1.67968,4.84217,2.71829,1.93287,1.57634,1.40726,1.56252,7352,2.40301,0,0
320000,1.6128,1.67863,1.67863,4.84217,2.71829,1.93287,1.57634,1.40726,1.57761,8064,2.34379,0,0
325000,1.4688,1.6754,1.67541,4.84217,2.71829,1.93287,1.57634,1.40726,1.54496,7344,2.36641,0,0
330000,1.528,1.67316,1.6732,4.84217,2.71829,1.93287,1.57634,1.40726,1.53988,7640,2.31745,0,0
335000,1.5648,1.67155,1.67157,4.84217,2.71829,1.93287,1.57634,1.40726,1.54735,7824,2.30981,0,0
340000,1.6304,1.67094,1.67095,4.84217,2.71829,1.93287,1.57634,1.40726,1.57227,8152,2.32103,0,0
345000,1.6976,1.67133,1.67134,4.84217,2.71829,1.93287,1.57634,1.40726,1.60987,8488,2.3584,0,0
350000,1.648,1.67099,1.67102,4.84217,2.71829,1.93287,1.57634,1.40726,1.62131,8240,2.4148,0,0
355000,1.6432,1.6706,1.67061,4.84217,2.71829,1.93287,1.57634,1.40726,1.62787,8216,2.43196,0,0
360000,1.6384,1.67016,1.67017,4.84217,2.71829,1.93287,1.57634,1.40726,1.63103,8192,2.44181,0,0
365000,1.6848,1.67036,1.67038,4.84217,2.71829,1.93287,1.57634,1.40726,1.64716,8424,2.44655,0,0
370000,1.5744,1.66906,1.66906,4.84217,2.71829,1.93287,1.57634,1.40726,1.62533,7872,2.47074,0,0
375000,1.5776,1.66784,1.66786,4.84217,2.71829,1.93287,1.57634,1.40726,1.61101,7888,2.438,0,0
380000,1.4512,1.66499,1.66501,4.84217,2.71829,1.93287,1.57634,1.40726,1.56307,7256,2.41652,0,0
385000,1.6992,1.66543,1.66544,4.84217,2.71829,1.93287,1.57634,1.40726,1.60391,8496,2.3446,0,0
390000,1.4832,1.6631,1.66311,4.84217,2.71829,1.93287,1.57634,1.40726,1.5677,7416,2.40586,0,0
