BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,2.9024,2.9024,2.90387,6.09451,4.21667,2.74361,1.62898,1.17049,2.9024,14512,4.3536,0,0
10000,2.3728,2.6376,2.63843,6.09451,4.21667,2.74361,1.62898,1.17049,2.74352,11864,4.3536,0,0
15000,2.3056,2.52693,2.52744,6.09451,4.21667,2.74361,1.62898,1.17049,2.61214,11528,4.11528,0,0
20000,2.4368,2.5044,2.50457,6.09451,4.21667,2.74361,1.62898,1.17049,2.55954,12184,3.91822,0,0
25000,2.4496,2.49344,2.49356,6.09451,4.21667,2.74361,1.62898,1.17049,2.52656,12248,3.83931,0,0
30000,2.8688,2.556,2.55626,6.09451,4.21667,2.74361,1.62898,1.17049,2.62923,14344,3.78984,0,0
35000,1.7536,2.44137,2.44143,6.09451,4.21667,2.74361,1.62898,1.17049,2.36654,8768,3.94385,0,0
40000,2.8608,2.4938,2.49381,6.09451,4.21667,2.74361,1.62898,1.17049,2.51482,14304,3.54981,0,0
45000,2.2864,2.47076,2.4708,6.09451,4.21667,2.74361,1.62898,1.17049,2.44629,11432,3.77223,0,0
50000,2.5136,2.47504,2.47515,6.09451,4.21667,2.74361,1.62898,1.17049,2.46649,12568,3.66944,0,0
55000,2.2832,2.4576,2.45772,6.09451,4.21667,2.74361,1.62898,1.17049,2.4115,11416,3.69973,0,0
60000,2.0128,2.42053,2.4207,6.09451,4.21667,2.74361,1.62898,1.17049,2.29189,10064,3.61725,0,0
65000,2.0896,2.39508,2.39514,6.09451,4.21667,2.74361,1.62898,1.17049,2.2312,10448,3.43783,0,0
70000,2.8048,2.42434,2.42444,6.09451,4.21667,2.74361,1.62898,1.17049,2.40328,14024,3.3468,0,0
75000,1.6944,2.37568,2.37578,6.09451,4.21667,2.74361,1.62898,1.17049,2.19062,8472,3.60492,0,0
80000,1.2928,2.308,2.30802,6.09451,4.21667,2.74361,1.62898,1.17049,1.92127,6464,3.28593,0,0
85000,1.5136,2.26127,2.26135,6.09451,4.21667,2.74361,1.62898,1.17049,1.79897,7568,2.88191,0,0
90000,1.3984,2.21333,2.21339,6.09451,4.21667,2.74361,1.62898,1.17049,1.6788,6992,2.69846,0,0
95000,1.12,2.15579,2.15581,6.09451,4.21667,2.74361,1.62898,1.17049,1.51116,5600,2.5182,0,0
100000,1.016,2.0988,2.09887,6.09451,4.21667,2.74361,1.62898,1.17049,1.36261,5080,2.26674,0,0
105000,1.096,2.05105,2.05111,6.09451,4.21667,2.74361,1.62898,1.17049,1.28263,5480,2.04392,0,0
110000,1.928,2.04545,2.04553,6.09451,4.21667,2.74361,1.62898,1.17049,1.47624,9640,1.92394,0,0
115000,0.9712,1.99875,1.99877,6.09451,4.21667,2.74361,1.62898,1.17049,1.32473,4856,2.21436,0,0
120000,8.0736,2.25187,2.25188,6.09451,4.21667,2.74361,1.62898,1.17049,2.25187,40368,1.98709,1,1
125000,8.1248,2.48678,2.48683,6.09451,4.21667,2.74361,1.62898,1.17049,4.01375,40624,3.3778,0,1
130000,7.688,2.68683,2.68689,6.09451,4.21667,2.74361,1.62898,1.17049,5.11602,38440,6.02062,0,1
135000,7.5968,2.86868,2.86869,6.09451,4.21667,2.74361,1.62898,1.17049,5.86026,37984,7.67403,0,1
140000,7.9136,3.04886,3.04888,6.09451,4.21667,2.74361,1.62898,1.17049,6.47626,39568,8.79038,0,1
