BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,6.8064,6.8064,6.80792,7.5252,5.83515,4.11845,1.66598,1.07205,6.8064,34032,10.2096,0,0
10000,6.2144,6.5104,6.51106,7.5252,5.83515,4.11845,1.66598,1.07205,6.6288,31072,10.2096,0,0
15000,6.0784,6.3664,6.36706,7.5252,5.83515,4.11845,1.66598,1.07205,6.46368,30392,9.9432,0,0
20000,5.9824,6.2704,6.27064,7.5252,5.83515,4.11845,1.66598,1.07205,6.3193,29912,9.69552,0,0
25000,5.8544,6.1872,6.18726,7.5252,5.83515,4.11845,1.66598,1.07205,6.17983,29272,9.47894,0,0
30000,5.8176,6.1256,6.12584,7.5252,5.83515,4.11845,1.66598,1.07205,6.07116,29088,9.26974,0,0
35000,5.7952,6.0784,6.07871,7.5252,5.83515,4.11845,1.66598,1.07205,5.98837,28976,9.10674,0,0
40000,5.8064,6.0444,6.0446,7.5252,5.83515,4.11845,1.66598,1.07205,5.93378,29032,8.98256,0,0
45000,5.7328,6.00978,6.00996,7.5252,5.83515,4.11845,1.66598,1.07205,5.87349,28664,8.90067,0,0
50000,5.7504,5.98384,5.98396,7.5252,5.83515,4.11845,1.66598,1.07205,5.83656,28752,8.81023,0,0
55000,5.776,5.96495,5.96502,7.5252,5.83515,4.11845,1.66598,1.07205,5.81839,28880,8.75484,0,0
60000,5.8528,5.9556,5.95573,7.5252,5.83515,4.11845,1.66598,1.07205,5.82871,29264,8.72759,0,0
65000,5.7392,5.93895,5.93903,7.5252,5.83515,4.11845,1.66598,1.07205,5.80186,28696,8.74307,0,0
70000,5.7296,5.924,5.92407,7.5252,5.83515,4.11845,1.66598,1.07205,5.78018,28648,8.70279,0,0
75000,5.7136,5.90997,5.91004,7.5252,5.83515,4.11845,1.66598,1.07205,5.76021,28568,8.67027,0,0
80000,5.5952,5.8903,5.89031,7.5252,5.83515,4.11845,1.66598,1.07205,5.71071,27976,8.64031,0,0
85000,5.6672,5.87718,5.87719,7.5252,5.83515,4.11845,1.66598,1.07205,5.69765,28336,8.56606,0,0
90000,5.6672,5.86551,5.86556,7.5252,5.83515,4.11845,1.66598,1.07205,5.68852,28336,8.54648,0,0
95000,5.5968,5.85137,5.85142,7.5252,5.83515,4.11845,1.66598,1.07205,5.661,27984,8.53278,0,0
100000,5.7152,5.84456,5.8446,7.5252,5.83515,4.11845,1.66598,1.07205,5.67726,28576,8.4915,0,0
105000,5.712,5.83825,5.83827,7.5252,5.83515,4.11845,1.66598,1.07205,5.68768,28560,8.51589,0,0
110000,5.68,5.83105,5.8311,7.5252,5.83515,4.11845,1.66598,1.07205,5.68538,28400,8.53152,0,0
115000,5.9248,5.83513,5.83519,7.5252,5.83515,4.11845,1.66598,1.07205,5.7572,29624,8.52807,0,0
120000,6.0784,5.84527,5.84529,7.5252,5.83515,4.11845,1.66598,1.07205,5.85356,30392,8.63581,0,0
125000,6.0112,5.8519,5.85192,7.5252,5.83515,4.11845,1.66598,1.07205,5.90085,30056,8.78034,0,0
130000,5.976,5.85668,5.85675,7.5252,5.83515,4.11845,1.66598,1.07205,5.9234,29880,8.85128,0,0
135000,5.92,5.85902,5.85904,7.5252,5.83515,4.11845,1.66598,1.07205,5.92238,29600,8.8851,0,0
140000,5.9776,5.86326,5.86326,7.5252,5.83515,4.11845,1.66598,1.07205,5.93895,29888,8.88357,0,0
145000,5.872,5.86356,5.86361,7.5252,5.83515,4.11845,1.66598,1.07205,5.91886,29360,8.90842,0,0
150000,5.8096,5.86176,5.86177,7.5252,5.83515,4.11845,1.66598,1.07205,5.88608,29048,8.87829,0,0
155000,5.7696,5.85879,5.85884,7.5252,5.83515,4.11845,1.66598,1.07205,5.85114,28848,8.82912,0,0
160000,5.7472,5.8553,5.85533,7.5252,5.83515,4.11845,1.66598,1.07205,5.81996,28736,8.77671,0,0
165000,5.8192,5.85421,5.85425,7.5252,5.83515,4.11845,1.66598,1.07205,5.81973,29096,8.72994,0,0
170000,5.8368,5.85369,5.8537,7.5252,5.83515,4.11845,1.66598,1.07205,5.82485,29184,8.72959,0,0
175000,5.8208,5.85275,5.85278,7.5252,5.83515,4.11845,1.66598,1.07205,5.82364,29104,8.73728,0,0
180000,5.7568,5.85009,5.8501,7.5252,5.83515,4.11845,1.66598,1.07205,5.80358,28784,8.73545,0,0
185000,5.7232,5.84666,5.84669,7.5252,5.83515,4.11845,1.66598,1.07205,5.77947,28616,8.70538,0,0
190000,5.7456,5.844,5.84404,7.5252,5.83515,4.11845,1.66598,1.07205,5.76931,28728,8.6692,0,0
195000,5.792,5.84267,5.84267,7.5252,5.83515,4.11845,1.66598,1.07205,5.77612,28960,8.65396,0,0
200000,5.7568,5.84052,5.84055,7.5252,5.83515,4.11845,1.66598,1.07205,5.77032,28784,8.66417,0,0
205000,5.8352,5.84039,5.84043,7.5252,5.83515,4.11845,1.66598,1.07205,5.78978,29176,8.65548,0,0
210000,5.7968,5.83935,5.83936,7.5252,5.83515,4.11845,1.66598,1.07205,5.79189,28984,8.68468,0,0
215000,5.8304,5.83914,5.83915,7.5252,5.83515,4.11845,1.66598,1.07205,5.80344,29152,8.68783,0,0
220000,5.7824,5.83785,5.83786,7.5252,5.83515,4.11845,1.66598,1.07205,5.79713,28912,8.70516,0,0
225000,5.7552,5.83602,5.83604,7.5252,5.83515,4.11845,1.66598,1.07205,5.78455,28776,8.69569,0,0
230000,5.8016,5.83527,5.83529,7.5252,5.83515,4.11845,1.66598,1.07205,5.78967,29008,8.67683,0,0
235000,5.7728,5.83394,5.83396,7.5252,5.83515,4.11845,1.66598,1.07205,5.78461,28864,8.6845,0,0
240000,5.7584,5.83237,5.83239,7.5252,5.83515,4.11845,1.66598,1.07205,5.77674,28792,8.67691,0,0
245000,5.7904,5.83151,5.83154,7.5252,5.83515,4.11845,1.66598,1.07205,5.78084,28952,8.66512,0,0
250000,5.7376,5.82963,5.82965,7.5252,5.83515,4.11845,1.66598,1.07205,5.76787,28688,8.67126,0,0
255000,5.7104,5.82729,5.82733,7.5252,5.83515,4.11845,1.66598,1.07205,5.75063,28552,8.6518,0,0
260000,5.7488,5.82578,5.82582,7.5252,5.83515,4.11845,1.66598,1.07205,5.75008,28744,8.62594,0,0
265000,5.8128,5.82554,5.82556,7.5252,5.83515,4.11845,1.66598,1.07205,5.7689,29064,8.62512,0,0
270000,5.768,5.82447,5.82451,7.5252,5.83515,4.11845,1.66598,1.07205,5.76863,28840,8.65334,0,0
275000,5.7968,5.82397,5.824,7.5252,5.83515,4.11845,1.66598,1.07205,5.77708,28984,8.65294,0,0
280000,5.7984,5.82351,5.82353,7.5252,5.83515,4.11845,1.66598,1.07205,5.78348,28992,8.66562,0,0
285000,5.7808,5.82276,5.82278,7.5252,5.83515,4.11845,1.66598,1.07205,5.78267,28904,8.67521,0,0
290000,5.7808,5.82204,5.82205,7.5252,5.83515,4.11845,1.66598,1.07205,5.78211,28904,8.67401,0,0
295000,5.7952,5.82159,5.82161,7.5252,5.83515,4.11845,1.66598,1.07205,5.78604,28976,8.67317,0,0
300000,5.7936,5.82112,5.82114,7.5252,5.83515,4.11845,1.66598,1.07205,5.78831,28968,8.67906,0,0
305000,5.7984,5.82075,5.82076,7.5252,5.83515,4.11845,1.66598,1.07205,5.79133,28992,8.68246,0,0
310000,6.1824,5.82658,5.8266,7.5252,5.83515,4.11845,1.66598,1.07205,5.90865,30912,8.687,0,0
315000,6.1968,5.83246,5.83247,7.5252,5.83515,4.11845,1.66598,1.07205,5.9951,30984,8.86298,0,0
320000,6.1648,5.83765,5.83767,7.5252,5.83515,4.11845,1.66598,1.07205,6.04601,30824,8.99265,0,0
325000,6.1264,5.84209,5.84212,7.5252,5.83515,4.11845,1.66598,1.07205,6.07013,30632,9.06901,0,0
330000,6.0768,5.84565,5.84566,7.5252,5.83515,4.11845,1.66598,1.07205,6.07213,30384,9.10519,0,0
335000,6.0576,5.84881,5.84882,7.5252,5.83515,4.11845,1.66598,1.07205,6.06777,30288,9.10819,0,0
340000,6.056,5.85186,5.85188,7.5252,5.83515,4.11845,1.66598,1.07205,6.06424,30280,9.10165,0,0
345000,5.9984,5.85398,5.854,7.5252,5.83515,4.11845,1.66598,1.07205,6.04449,29992,9.09636,0,0
350000,5.968,5.85561,5.85564,7.5252,5.83515,4.11845,1.66598,1.07205,6.02154,29840,9.06673,0,0
355000,5.9552,5.85701,5.85702,7.5252,5.83515,4.11845,1.66598,1.07205,6.00164,29776,9.03231,0,0
360000,5.9904,5.85887,5.85889,7.5252,5.83515,4.11845,1.66598,1.07205,5.99827,29952,9.00246,0,0
365000,5.9776,5.86049,5.86052,7.5252,5.83515,4.11845,1.66598,1.07205,5.99207,29888,8.9974,0,0
370000,5.8784,5.86074,5.86075,7.5252,5.83515,4.11845,1.66598,1.07205,5.95797,29392,8.9881,0,0
375000,5.9024,5.86129,5.86131,7.5252,5.83515,4.11845,1.66598,1.07205,5.9413,29512,8.93695,0,0
380000,5.88,5.86154,5.86156,7.5252,5.83515,4.11845,1.66598,1.07205,5.92291,29400,8.91195,0,0
385000,5.9248,5.86236,5.86237,7.5252,5.83515,4.11845,1.66598,1.07205,5.92348,29624,8.88436,0,0
