BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,3.5616,3.5616,3.56263,4.97073,3.41709,2.45843,1.83875,1.4797,3.5616,17808,5.3424,0,0
10000,3.1232,3.3424,3.343,4.97073,3.41709,2.45843,1.83875,1.4797,3.43008,15616,5.3424,0,0
15000,2.8672,3.184,3.18465,4.97073,3.41709,2.45843,1.83875,1.4797,3.26122,14336,5.14512,0,0
20000,2.912,3.116,3.11605,4.97073,3.41709,2.45843,1.83875,1.4797,3.15645,14560,4.89182,0,0
25000,2.8464,3.06208,3.0624,4.97073,3.41709,2.45843,1.83875,1.4797,3.06344,14232,4.73468,0,0
30000,2.3056,2.936,2.93608,4.97073,3.41709,2.45843,1.83875,1.4797,2.83609,11528,4.59515,0,0
35000,2.4208,2.8624,2.86245,4.97073,3.41709,2.45843,1.83875,1.4797,2.7115,12104,4.25413,0,0
40000,1.992,2.7536,2.75374,4.97073,3.41709,2.45843,1.83875,1.4797,2.49565,9960,4.06725,0,0
45000,2.0096,2.67093,2.67122,4.97073,3.41709,2.45843,1.83875,1.4797,2.34983,10048,3.74347,0,0
50000,2.0704,2.61088,2.61104,4.97073,3.41709,2.45843,1.83875,1.4797,2.266,10352,3.52475,0,0
55000,2.1232,2.56655,2.56662,4.97073,3.41709,2.45843,1.83875,1.4797,2.22316,10616,3.39901,0,0
60000,1.8256,2.5048,2.50495,4.97073,3.41709,2.45843,1.83875,1.4797,2.10389,9128,3.33474,0,0
65000,1.832,2.45305,2.45317,4.97073,3.41709,2.45843,1.83875,1.4797,2.02233,9160,3.15584,0,0
70000,1.744,2.4024,2.4025,4.97073,3.41709,2.45843,1.83875,1.4797,1.93883,8720,3.03349,0,0
75000,2.1088,2.38283,2.3829,4.97073,3.41709,2.45843,1.83875,1.4797,1.98982,10544,2.90824,0,0
80000,1.952,2.3559,2.35597,4.97073,3.41709,2.45843,1.83875,1.4797,1.97847,9760,2.98473,0,0
85000,1.7952,2.32292,2.32299,4.97073,3.41709,2.45843,1.83875,1.4797,1.92349,8976,2.96771,0,0
90000,2.0656,2.30862,2.30865,4.97073,3.41709,2.45843,1.83875,1.4797,1.96612,10328,2.88524,0,0
95000,1.9216,2.28825,2.28832,4.97073,3.41709,2.45843,1.83875,1.4797,1.95277,9608,2.94919,0,0
100000,1.624,2.25504,2.25511,4.97073,3.41709,2.45843,1.83875,1.4797,1.85414,8120,2.92915,0,0
105000,2.056,2.24556,2.24561,4.97073,3.41709,2.45843,1.83875,1.4797,1.9147,10280,2.78121,0,0
110000,1.6848,2.22007,2.22014,4.97073,3.41709,2.45843,1.83875,1.4797,1.84573,8424,2.87204,0,0
115000,1.6368,2.19471,2.19475,4.97073,3.41709,2.45843,1.83875,1.4797,1.78305,8184,2.76859,0,0
120000,1.9296,2.18367,2.18372,4.97073,3.41709,2.45843,1.83875,1.4797,1.82701,9648,2.67457,0,0
125000,1.688,2.16384,2.16386,4.97073,3.41709,2.45843,1.83875,1.4797,1.78531,8440,2.74052,0,0
