BytesProcessados,L_Barra_Janela,L_Barra_Acumulado,L_Barra_Teorico,H_0,H_1,H_2,H_3,H_4,SmoothedBPS,BitsNaJanela,ThresholdBPS,ResetFlag,ResetCount
5000,6.3104,6.3104,6.31178,6.60465,5.57924,3.52547,3.30001,1.8196,6.3104,31552,9.4656,0,0
10000,5.2656,5.788,5.78872,6.60465,5.57924,3.52547,3.30001,1.8196,5.99696,26328,9.4656,0,0
15000,5.2128,5.59627,5.59661,6.60465,5.57924,3.52547,3.30001,1.8196,5.76171,26064,8.99544,0,0
20000,5.1616,5.4876,5.48783,6.60465,5.57924,3.52547,3.30001,1.8196,5.58168,25808,8.64257,0,0
25000,4.8736,5.3648,5.3652,6.60465,5.57924,3.52547,3.30001,1.8196,5.36925,24368,8.37252,0,0
30000,5.0096,5.3056,5.30563,6.60465,5.57924,3.52547,3.30001,1.8196,5.26136,25048,8.05388,0,0
35000,4.904,5.24823,5.24845,6.60465,5.57924,3.52547,3.30001,1.8196,5.15415,24520,7.89204,0,0
40000,4.7824,5.19,5.19005,6.60465,5.57924,3.52547,3.30001,1.8196,5.04263,23912,7.73123,0,0
45000,4.776,5.144,5.14405,6.60465,5.57924,3.52547,3.30001,1.8196,4.96264,23880,7.56394,0,0
50000,4.7888,5.10848,5.10865,6.60465,5.57924,3.52547,3.30001,1.8196,4.91049,23944,7.44396,0,0
55000,4.784,5.07898,5.07902,6.60465,5.57924,3.52547,3.30001,1.8196,4.87254,23920,7.36573,0,0
60000,4.7504,5.0516,5.05161,6.60465,5.57924,3.52547,3.30001,1.8196,4.8359,23752,7.30881,0,0
65000,4.9696,5.04529,5.04538,6.60465,5.57924,3.52547,3.30001,1.8196,4.87601,24848,7.25385,0,0
70000,4.9296,5.03703,5.03712,6.60465,5.57924,3.52547,3.30001,1.8196,4.89209,24648,7.31401,0,0
75000,4.7232,5.01611,5.01616,6.60465,5.57924,3.52547,3.30001,1.8196,4.84142,23616,7.33813,0,0
80000,4.9232,5.0103,5.0104,6.60465,5.57924,3.52547,3.30001,1.8196,4.86595,24616,7.26213,0,0
